trades_count,buy_count,sell_count,total_volume,t0_profit,date,closing_price,symbol,stock_name
6,4,2,77329.309694455,24039.243766876927,2023-05-17,7.61,SH600000,浦发银行
6,2,4,79035.76368306663,25914.39492277498,2023-05-18,7.68,SH600000,浦发银行
5,3,2,67732.48718574559,26101.52859782176,2023-05-19,7.54,SH600000,浦发银行
3,2,1,35269.70954356852,26349.343258955927,2023-05-22,7.54,SH600000,浦发银行
3,2,1,38035.9612724758,26349.343258955927,2023-05-23,7.45,SH600000,浦发银行
3,2,1,39764.86860304292,26349.343258955927,2023-05-24,7.29,SH600000,浦发银行
2,1,1,25776.436564818338,26349.343258955927,2023-05-25,7.31,SH600000,浦发银行
4,2,2,51552.8731296366,27382.9965973188,2023-05-26,7.32,SH600000,浦发银行
3,2,1,38035.961272475804,27645.21881954102,2023-05-29,7.41,SH600000,浦发银行
4,2,2,55325.03457814662,27645.21881954102,2023-05-30,7.37,SH600000,浦发银行
2,1,1,28430.92054710311,27645.21881954102,2023-05-31,7.35,SH600000,浦发银行
3,2,1,42646.38082065468,27645.21881954102,2023-06-01,7.28,SH600000,浦发银行
2,1,1,27662.51728907331,27881.601945405477,2023-06-02,7.35,SH600000,浦发银行
3,2,1,41493.77593360988,28354.303651260703,2023-06-05,7.41,SH600000,浦发银行
5,3,2,62240.66390041495,29700.123153335386,2023-06-06,7.38,SH600000,浦发银行
2,0,2,21899.492853849675,29700.123153335386,2023-06-07,7.46,SH600000,浦发银行
4,2,2,51002.76625172885,30871.440580721275,2023-06-08,7.57,SH600000,浦发银行
3,2,1,38035.961272475804,31122.60833412969,2023-06-09,7.56,SH600000,浦发银行
2,2,0,25002.65985743156,31122.60833412969,2023-06-12,7.43,SH600000,浦发银行
2,1,1,29391.42461964035,31122.60833412969,2023-06-13,7.46,SH600000,浦发银行
3,1,2,39293.34842197922,31122.60833412969,2023-06-14,7.4,SH600000,浦发银行
5,2,3,62240.66390041498,31365.98777165851,2023-06-15,7.45,SH600000,浦发银行
1,0,1,13337.285121517589,31365.98777165851,2023-06-16,7.43,SH600000,浦发银行
2,1,1,26894.114031043508,31365.98777165851,2023-06-19,7.34,SH600000,浦发银行
2,2,0,25933.609958506266,31365.98777165851,2023-06-20,7.29,SH600000,浦发银行
4,3,1,55325.0345781465,31675.326637495305,2023-06-21,7.27,SH600000,浦发银行
2,2,0,22874.773912118268,31675.326637495305,2023-06-26,7.16,SH600000,浦发银行
1,0,1,11361.391029440898,31675.326637495305,2023-06-27,7.19,SH600000,浦发银行
1,0,1,10373.443983402594,31675.326637495305,2023-06-28,7.21,SH600000,浦发银行
1,0,1,13337.285121517589,31675.326637495305,2023-06-29,7.18,SH600000,浦发银行
2,0,2,24519.04941531503,31675.326637495305,2023-06-30,7.24,SH600000,浦发银行
3,1,2,42646.380820654726,32675.541022004298,2023-07-03,7.32,SH600000,浦发银行
3,1,2,38035.9612724758,32675.541022004298,2023-07-04,7.28,SH600000,浦发银行
2,0,2,24698.67615095821,32675.541022004298,2023-07-05,7.25,SH600000,浦发银行
2,1,1,29391.42461964045,32675.541022004298,2023-07-06,7.21,SH600000,浦发银行
2,1,1,29967.72706316282,32675.541022004298,2023-07-07,7.22,SH600000,浦发银行
1,1,0,11756.569847856254,32675.541022004298,2023-07-10,7.22,SH600000,浦发银行
2,0,2,29391.424619640355,32675.541022004298,2023-07-11,7.28,SH600000,浦发银行
2,2,0,26674.570243035003,32675.541022004298,2023-07-12,7.25,SH600000,浦发银行
3,2,1,38958.04518211156,33129.71391273735,2023-07-13,7.4,SH600000,浦发银行
1,0,1,11361.391029440798,33129.71391273735,2023-07-14,7.44,SH600000,浦发银行
2,2,0,22874.773912118348,33129.71391273735,2023-07-17,7.42,SH600000,浦发银行
1,1,0,11756.569847856254,33129.71391273735,2023-07-18,7.39,SH600000,浦发银行
1,0,1,11361.391029440898,33129.71391273735,2023-07-19,7.41,SH600000,浦发银行
2,1,1,27662.51728907331,33129.71391273735,2023-07-20,7.42,SH600000,浦发银行
2,2,0,29967.7270631628,33129.71391273735,2023-07-21,7.12,SH600000,浦发银行
2,1,1,28430.92054710311,33129.71391273735,2023-07-24,7.13,SH600000,浦发银行
2,0,2,21611.34163208858,33129.71391273735,2023-07-25,7.27,SH600000,浦发银行
3,1,2,36499.1547564162,33129.71391273735,2023-07-26,7.29,SH600000,浦发银行
2,0,2,21899.492853849675,33129.71391273735,2023-07-27,7.37,SH600000,浦发银行
4,2,2,54597.07359685529,34660.7865632433,2023-07-28,7.5,SH600000,浦发银行
5,2,3,61746.69037739581,35016.66978790246,2023-07-31,7.6,SH600000,浦发银行
3,1,2,35269.70954356852,35016.66978790246,2023-08-01,7.6,SH600000,浦发银行
4,2,2,53596.12724757957,35016.66978790246,2023-08-02,7.48,SH600000,浦发银行
4,2,2,49397.352301916646,36018.462911791015,2023-08-03,7.56,SH600000,浦发银行
6,3,3,76071.9225449516,36887.96498647981,2023-08-04,7.58,SH600000,浦发银行
2,1,1,25069.156293222743,36887.96498647981,2023-08-07,7.52,SH600000,浦发银行
4,1,3,50714.615029967725,38006.6302700206,2023-08-08,7.52,SH600000,浦发银行
2,2,0,23938.716884775007,38006.6302700206,2023-08-09,7.55,SH600000,浦发银行
3,2,1,36718.69854442472,38281.04342947526,2023-08-10,7.42,SH600000,浦发银行
4,2,2,53349.14048607006,38281.04342947526,2023-08-11,7.23,SH600000,浦发银行
2,2,0,23340.24896265562,38281.04342947526,2023-08-14,7.1,SH600000,浦发银行
3,2,1,39293.3484219791,38576.23392362841,2023-08-15,7.17,SH600000,浦发银行
3,1,2,35521.1869734692,38576.23392362841,2023-08-16,7.14,SH600000,浦发银行
3,2,1,41227.79019044583,38576.23392362841,2023-08-17,7.1,SH600000,浦发银行
3,2,1,39419.08713692957,38867.21317674044,2023-08-18,7.07,SH600000,浦发银行
4,2,2,50385.29934795496,39118.10232908188,2023-08-21,6.96,SH600000,浦发银行
2,1,1,27662.51728907316,39400.26000543041,2023-08-22,7.01,SH600000,浦发银行
3,2,1,40802.21300138321,39722.06913406112,2023-08-23,7.02,SH600000,浦发银行
3,2,1,40011.85536455244,39993.77630655668,2023-08-24,6.99,SH600000,浦发银行
3,2,1,39293.34842197922,40293.10360443169,2023-08-25,7.05,SH600000,浦发银行
