time,type,price,volume,value,transaction_cost,net_value,holdings_after,cash_after,is_t0_trade,signal_strength,is_forced_adjustment,adjustment_reason,symbol,stock_name
2023-01-03 09:41:00,buy,7.18,16031.686156167518,115107.50660128276,161.15050924179587,-115268.65711052455,85187.97937885078,384731.3428894754,True,2.318181818181823,,,SH600000,浦发银行
2023-01-03 10:01:00,buy,7.21,12259.5247076575,88391.17314221057,123.7476423990948,-88514.92078460965,97447.50408650828,296216.4221048658,True,1.7727272727272745,,,SH600000,浦发银行
2023-01-03 14:21:00,sell,7.25,13516.9118571608,97997.6109644158,137.19665535018214,97860.41430906564,83930.59222934749,394076.8364139314,True,1.954545454545452,,,SH600000,浦发银行
2023-01-03 15:00:00,sell,7.23,14774.299006664223,106818.18181818236,149.54545454545527,106668.63636363688,69156.29322268326,500745.4727775682,,,True,end_of_day,SH600000,浦发银行
2023-01-04 09:31:00,buy,7.25,14983.863531581408,108633.0106039652,152.08621484555127,-108785.09681881077,84140.15675426467,391960.37595875753,True,2.1666666666666714,,,SH600000,浦发银行
2023-01-04 09:44:00,buy,7.28,9220.839096357786,67127.70862148468,93.97879207007855,-67221.68741355476,93360.99585062244,324738.6885452028,True,1.3333333333333357,,,SH600000,浦发银行
2023-01-04 10:25:00,sell,7.32,13831.258644536703,101244.81327800867,141.74273858921214,101103.07053941948,79529.73720608575,425841.7590846223,True,2.000000000000007,,,SH600000,浦发银行
2023-01-04 15:00:00,sell,7.31,10373.443983402482,75829.87551867214,106.161825726141,75723.713692946,69156.29322268326,501565.4727775682,,,True,end_of_day,SH600000,浦发银行
2023-01-05 09:31:00,sell,7.36,14215.460273551622,104625.78761333994,146.47610265867593,104479.31151068126,54940.83294913164,606044.7842882496,True,2.055555555555564,,,SH600000,浦发银行
2023-01-05 10:06:00,sell,7.33,9605.040725372692,70404.94851698184,98.56692792377456,70306.38158905806,45335.79222375895,676351.1658773076,True,1.388888888888891,,,SH600000,浦发银行
2023-01-05 15:00:00,buy,7.35,23820.50099892431,175080.68234209367,245.11295527893117,-175325.7952973726,69156.29322268326,501025.370579935,,,True,end_of_day,SH600000,浦发银行
2023-01-06 09:31:00,sell,7.37,15313.179213594203,112858.13080418928,158.00138312586498,112700.1294210634,53843.11400908906,613725.5000009984,True,2.214285714285721,,,SH600000,浦发银行
2023-01-06 09:50:00,sell,7.34,9385.496937364183,68889.54752025311,96.44536652835436,68793.10215372476,44457.61707172488,682518.6021547231,True,1.3571428571428608,,,SH600000,浦发银行
2023-01-06 15:00:00,buy,7.34,24698.67615095839,181288.28294803452,253.8035961272484,-181542.0865441618,69156.29322268326,500976.51561056136,,,True,end_of_day,SH600000,浦发银行
2023-01-09 09:31:00,buy,7.34,10373.44398340249,76141.07883817428,106.59751037344398,-76247.67634854771,79529.73720608576,424728.8392620137,True,1.5,,,SH600000,浦发银行
2023-01-09 09:46:00,buy,7.31,15560.165975103771,113744.81327800856,159.242738589212,-113904.05601659778,95089.90318118953,310824.7832454159,True,2.2500000000000053,,,SH600000,浦发银行
2023-01-09 10:08:00,sell,7.35,12102.351313969531,88952.28215767606,124.53319502074648,88827.74896265531,82987.55186722,399652.5322080712,True,1.7499999999999944,,,SH600000,浦发银行
2023-01-09 15:00:00,sell,7.34,13831.258644536734,101521.43845089964,142.13001383125948,101379.30843706836,69156.29322268326,501031.8406451396,,,True,end_of_day,SH600000,浦发银行
2023-01-10 09:34:00,buy,7.31,11361.3910294409,83051.76842521297,116.27247579529816,-83168.04090100827,80517.68425212416,417863.7997441313,True,1.642857142857154,,,SH600000,浦发银行
2023-01-10 14:47:00,buy,7.28,17289.07330567082,125864.45366528357,176.21023513139698,-126040.66390041496,97806.75755779498,291823.1358437163,True,2.5,,,SH600000,浦发银行
2023-01-10 15:00:00,sell,7.28,28650.464335111712,208575.38035961328,292.0055325034586,208283.37482710983,69156.29322268326,500106.5106708262,,,True,end_of_day,SH600000,浦发银行
2023-01-11 09:29:00,sell,7.31,11361.391029440798,83051.76842521223,116.27247579529713,82935.49594941693,57794.90219324247,583042.0066202431,True,1.6428571428571392,,,SH600000,浦发银行
2023-01-11 09:32:00,buy,7.27,17289.07330567082,125691.56293222684,175.96818810511758,-125867.53112033196,75083.97549891329,457174.4754999111,True,2.5,,,SH600000,浦发银行
2023-01-11 15:00:00,sell,7.3,5927.682276230029,43272.08061647921,60.58091286307089,43211.49970361614,69156.29322268326,500385.97520352725,,,True,end_of_day,SH600000,浦发银行
2023-01-12 09:32:00,buy,7.29,9605.040725372692,70020.74688796692,98.02904564315368,-70118.77593361007,78761.33394805595,430267.1992699172,True,1.388888888888891,,,SH600000,浦发银行
2023-01-12 10:37:00,buy,7.26,14215.460273551622,103204.24158598475,144.48593822037867,-103348.72752420514,92976.79422160758,326918.4717457121,True,2.055555555555564,,,SH600000,浦发银行
2023-01-12 15:00:00,sell,7.27,23820.50099892431,173175.04226217975,242.44505916705165,172932.5972030127,69156.29322268326,499851.0689487248,,,True,end_of_day,SH600000,浦发银行
2023-01-13 09:32:00,sell,7.31,11361.391029440798,83051.76842521223,116.27247579529713,82935.49594941693,57794.90219324247,582786.5648981417,True,1.6428571428571392,,,SH600000,浦发银行
2023-01-13 15:00:00,buy,7.34,11361.391029440798,83392.61015609546,116.74965421853364,-83509.359810314,69156.29322268326,499277.2050878276,,,True,end_of_day,SH600000,浦发银行
2023-01-16 09:32:00,buy,7.34,11756.569847856132,86293.222683264,120.8105117565696,-86414.03319502057,80912.8630705394,412863.1718928071,True,1.6999999999999964,,,SH600000,浦发银行
