time,type,price,volume,value,transaction_cost,net_value,holdings_after,cash_after,is_t0_trade,signal_strength,is_forced_adjustment,adjustment_reason,cash_change,holdings_change,reason,delay_reason,symbol,stock_name
2024-04-23 14:50:00,sell,7.35,18000.0,132300.0,185.22,132114.78,70224.7191011236,505423.1966,,,True,force_balance_1450,,,,,SH600000,浦发银行
2024-04-24 09:40:00,buy,7.35,11900.0,87465.0,122.451,-87587.451,82124.7191011236,417835.7456,True,1.7000000000000035,,,,,,,SH600000,浦发银行
2024-04-24 09:51:00,buy,7.32,14700.0,107604.0,150.6456,-107754.6456,96824.7191011236,310081.10000000003,True,2.099999999999993,,,,,,,SH600000,浦发银行
2024-04-24 10:16:00,sell,7.37,11900.0,87703.0,122.7842,87580.2158,84924.7191011236,397661.31580000004,True,1.7000000000000035,,,,,,,SH600000,浦发银行
2024-04-24 11:01:00,sell,7.4,16200.0,119880.0,167.832,119712.168,68724.7191011236,517373.48380000005,True,2.2999999999999874,,,,,,,SH600000,浦发银行
2024-04-24 13:02:00,buy,7.35,10500.0,77175.0,108.045,-77283.045,79224.7191011236,440090.43880000006,True,1.5000000000000089,,,,,,,SH600000,浦发银行
2024-04-24 14:50:00,sell,7.34,9000.0,66060.0,92.484,65967.516,70224.7191011236,506057.95480000007,,,True,force_balance_1450,,,,,SH600000,浦发银行
2024-04-25 09:40:00,buy,7.33,16200.0,118746.0,166.24439999999998,-118912.2444,86424.7191011236,387145.7104000001,True,2.2999999999999874,,,,,,,SH600000,浦发银行
2024-04-25 09:50:00,buy,7.36,11900.0,87584.0,122.6176,-87706.6176,98324.7191011236,299439.0928000001,True,1.7000000000000035,,,,,,,SH600000,浦发银行
2024-04-25 10:59:00,sell,7.4,14700.0,108780.0,152.292,108627.708,83624.7191011236,408066.8008000001,True,2.099999999999993,,,,,,,SH600000,浦发银行
2024-04-25 14:50:00,sell,7.41,13400.0,99294.0,139.0116,99154.9884,70224.7191011236,507221.7892000001,,,True,force_balance_1450,,,,,SH600000,浦发银行
2024-04-26 09:44:00,sell,7.47,15400.0,115038.0,161.0532,114876.9468,54824.7191011236,622098.7360000001,True,2.192307692307687,,,,,,,SH600000,浦发银行
2024-04-26 09:49:00,buy,7.42,10000.0,74200.0,103.88,-74303.88,64824.7191011236,547794.8560000001,True,1.4230769230769251,,,,,,,SH600000,浦发银行
2024-04-26 10:04:00,buy,7.39,13200.0,97548.0,136.56719999999999,-97684.5672,78024.7191011236,450110.28880000015,True,1.8846153846153877,,,,,,,SH600000,浦发银行
2024-04-26 14:12:00,sell,7.43,11100.0,82473.0,115.4622,82357.5378,66924.7191011236,532467.8266000001,True,1.5769230769230749,,,,,,,SH600000,浦发银行
2024-04-26 14:50:00,buy,7.43,3300.0,24519.0,34.3266,-24553.3266,70224.7191011236,507914.5000000001,,,True,force_balance_1450,,,,,SH600000,浦发银行
2024-04-29 09:42:00,buy,7.37,13100.0,96547.0,135.1658,-96682.1658,83324.7191011236,411232.3342000001,True,1.8636363636363602,,,,,,,SH600000,浦发银行
2024-04-29 09:57:00,sell,7.41,11800.0,87438.0,122.4132,87315.5868,71524.7191011236,498547.9210000001,True,1.681818181818182,,,,,,,SH600000,浦发银行
2024-04-29 10:10:00,sell,7.44,12400.0,92256.0,129.1584,92126.8416,59124.7191011236,590674.7626000001,True,1.7727272727272794,,,,,,,SH600000,浦发银行
2024-04-29 14:50:00,buy,7.44,11100.0,82584.0,115.6176,-82699.6176,70224.7191011236,507975.14500000014,,,True,force_balance_1450,,,,,SH600000,浦发银行
2024-04-30 09:41:00,sell,7.69,9800.0,75362.0,105.5068,75256.4932,60424.7191011236,583231.6382000002,True,1.388888888888891,,,,,,,SH600000,浦发银行
2024-04-30 09:45:00,buy,7.65,13400.0,102510.0,143.514,-102653.514,73824.7191011236,480578.1242000002,True,1.907407407407406,,,,,,,SH600000,浦发银行
2024-04-30 10:04:00,sell,7.72,11300.0,87236.0,122.1304,87113.8696,62524.7191011236,567691.9938000002,True,1.611111111111109,,,,,,,SH600000,浦发银行
2024-04-30 10:22:00,sell,7.76,13400.0,103984.0,145.5776,103838.4224,49124.7191011236,671530.4162000002,True,1.9074074074074059,,,,,,,SH600000,浦发银行
2024-04-30 13:04:00,buy,7.7,10300.0,79310.0,111.03399999999999,-79421.034,59424.7191011236,592109.3822000002,True,1.4629629629629637,,,,,,,SH600000,浦发银行
2024-04-30 13:41:00,buy,7.67,12400.0,95108.0,133.1512,-95241.1512,71824.7191011236,496868.23100000026,True,1.7592592592592609,,,,,,,SH600000,浦发银行
2024-04-30 14:27:00,sell,7.71,10300.0,79413.0,111.1782,79301.8218,61524.7191011236,576170.0528000003,True,1.4629629629629637,,,,,,,SH600000,浦发银行
2024-04-30 14:50:00,buy,7.72,8700.0,67164.0,94.0296,-67258.0296,70224.7191011236,508912.0232000003,,,True,force_balance_1450,,,,,SH600000,浦发银行
2024-05-06 09:42:00,buy,7.8,14300.0,111540.0,156.156,-111696.156,84524.7191011236,397215.86720000027,True,2.0384615384615343,,,,,,,SH600000,浦发银行
2024-05-06 09:47:00,sell,7.84,12200.0,95648.0,133.9072,95514.0928,72324.7191011236,492729.96000000025,True,1.7307692307692328,,,,,,,SH600000,浦发银行
2024-05-06 10:14:00,sell,7.87,15400.0,121198.0,169.6772,121028.3228,56924.7191011236,613758.2828000003,True,2.1923076923076987,,,,,,,SH600000,浦发银行
2024-05-06 10:56:00,buy,7.83,11100.0,86913.0,121.6782,-87034.6782,68024.7191011236,526723.6046000003,True,1.5769230769230822,,,,,,,SH600000,浦发银行
2024-05-06 14:50:00,delay_balance,7.86,0.0,0.0,0.0,,,,,,,,0.0,0.0,delayed_force_balance_1450,价格在日内高位(76.9%)，延迟买入,SH600000,浦发银行
2024-05-07 09:40:00,sell,7.79,11100.0,86469.0,121.0566,86347.9434,56924.7191011236,613071.5480000003,True,1.5769230769230822,,,,,,,SH600000,浦发银行
2024-05-07 09:48:00,buy,7.75,14300.0,110825.0,155.155,-110980.155,71224.7191011236,502091.3930000003,True,2.0384615384615343,,,,,,,SH600000,浦发银行
2024-05-07 10:05:00,buy,7.72,16500.0,127380.0,178.332,-127558.332,87724.7191011236,374533.0610000003,True,2.3461538461538356,,,,,,,SH600000,浦发银行
2024-05-07 13:04:00,sell,7.82,14300.0,111826.0,156.5564,111669.4436,73424.7191011236,486202.5046000003,True,2.038461538461548,,,,,,,SH600000,浦发银行
2024-05-07 14:50:00,sell,7.81,3200.0,24992.0,34.9888,24957.0112,70224.7191011236,511159.5158000003,,,True,force_balance_1450,,,,,SH600000,浦发银行
2024-05-08 09:42:00,buy,7.83,11500.0,90045.0,126.063,-90171.063,81724.7191011236,420988.4528000003,True,1.6428571428571537,,,,,,,SH600000,浦发银行
2024-05-08 13:40:00,buy,7.8,9500.0,74100.0,103.74,-74203.74,91224.7191011236,346784.7128000003,True,1.357142857142846,,,,,,,SH600000,浦发银行
2024-05-08 14:50:00,delay_balance,7.8,0.0,0.0,0.0,,,,,,,,0.0,0.0,delayed_force_balance_1450,价格在日内低位(28.6%)，延迟卖出,SH600000,浦发银行
2024-05-09 09:40:00,buy,7.82,11300.0,88366.0,123.7124,-88489.7124,102524.7191011236,258295.0004000003,True,1.611111111111109,,,,,,,SH600000,浦发银行
2024-05-09 13:05:00,buy,7.79,11300.0,88027.0,123.2378,-88150.2378,113824.7191011236,170144.7626000003,True,1.611111111111109,,,,,,,SH600000,浦发银行
2024-05-09 14:50:00,sell,7.81,43600.0,340516.0,476.7224,340039.2776,70224.7191011236,510184.0402000003,,,True,force_balance_1450,,,,,SH600000,浦发银行
2024-05-10 09:43:00,buy,7.86,13800.0,108468.0,151.8552,-108619.8552,84024.7191011236,401564.1850000003,True,1.9666666666666675,,,,,,,SH600000,浦发银行
2024-05-10 10:56:00,buy,7.89,9100.0,71799.0,100.51859999999999,-71899.5186,93124.7191011236,329664.6664000003,True,1.3000000000000047,,,,,,,SH600000,浦发银行
2024-05-10 11:08:00,sell,7.94,15700.0,124658.0,174.5212,124483.4788,77424.7191011236,454148.14520000026,True,2.233333333333328,,,,,,,SH600000,浦发银行
2024-05-10 14:50:00,sell,7.92,7200.0,57024.0,79.8336,56944.1664,70224.7191011236,511092.31160000025,,,True,force_balance_1450,,,,,SH600000,浦发银行
2024-05-13 09:42:00,buy,7.9,13700.0,108230.0,151.522,-108381.522,83924.7191011236,402710.78960000025,True,1.9545454545454515,,,,,,,SH600000,浦发银行
2024-05-13 09:53:00,buy,7.96,9900.0,78804.0,110.3256,-78914.3256,93824.7191011236,323796.46400000027,True,1.4090909090909194,,,,,,,SH600000,浦发银行
2024-05-13 14:50:00,sell,7.95,23600.0,187620.0,262.668,187357.332,70224.7191011236,511153.79600000026,,,True,force_balance_1450,,,,,SH600000,浦发银行
2024-05-14 09:43:00,sell,7.93,11200.0,88816.0,124.3424,88691.6576,59024.7191011236,599845.4536000002,True,1.5909090909090806,,,,,,,SH600000,浦发银行
2024-05-14 09:48:00,sell,7.96,13700.0,109052.0,152.6728,108899.3272,45324.7191011236,708744.7808000003,True,1.9545454545454517,,,,,,,SH600000,浦发银行
2024-05-14 10:15:00,buy,7.91,9900.0,78309.0,109.6326,-78418.6326,55224.7191011236,630326.1482000003,True,1.4090909090909032,,,,,,,SH600000,浦发银行
2024-05-14 10:47:00,buy,7.88,15000.0,118200.0,165.48,-118365.48,70224.7191011236,511960.6682000003,True,2.136363636363645,,,,,,,SH600000,浦发银行
2024-05-15 09:40:00,sell,7.9,12900.0,101910.0,142.674,101767.326,57324.7191011236,613727.9942000003,True,1.8333333333333466,,,,,,,SH600000,浦发银行
2024-05-15 09:51:00,buy,7.85,16000.0,125600.0,175.84,-125775.84,73324.7191011236,487952.15420000034,True,2.277777777777782,,,,,,,SH600000,浦发银行
2024-05-15 14:50:00,sell,7.88,3100.0,24428.0,34.1992,24393.8008,70224.7191011236,512345.95500000037,,,True,force_balance_1450,,,,,SH600000,浦发银行
2024-05-16 09:42:00,buy,7.94,14900.0,118306.0,165.6284,-118471.6284,85124.7191011236,393874.3266000004,True,2.124999999999999,,,,,,,SH600000,浦发银行
2024-05-16 09:58:00,sell,7.99,12300.0,98277.0,137.5878,98139.4122,72824.7191011236,492013.7388000004,True,1.7499999999999987,,,,,,,SH600000,浦发银行
2024-05-16 10:03:00,sell,8.03,14900.0,119646.99999999999,167.50579999999997,119479.49419999999,57924.7191011236,611493.2330000004,True,2.1249999999999885,,,,,,,SH600000,浦发银行
2024-05-16 14:50:00,delay_balance,8.02,0.0,0.0,0.0,,,,,,,,0.0,0.0,delayed_force_balance_1450,价格在日内高位(81.2%)，延迟买入,SH600000,浦发银行
2024-05-17 09:41:00,sell,8.09,12900.0,104361.0,146.1054,104214.8946,45024.7191011236,715708.1276000004,True,1.8333333333333255,,,,,,,SH600000,浦发银行
2024-05-17 09:54:00,buy,8.03,15700.0,126070.99999999999,176.49939999999998,-126247.49939999999,60724.7191011236,589460.6282000004,True,2.2333333333333396,,,,,,,SH600000,浦发银行
2024-05-17 14:39:00,sell,8.14,14700.0,119658.00000000001,167.52120000000002,119490.47880000001,46024.7191011236,708951.1070000004,True,2.1000000000000094,,,,,,,SH600000,浦发银行
2024-05-17 14:50:00,delay_balance,8.15,0.0,0.0,0.0,,,,,,,,0.0,0.0,delayed_force_balance_1450,价格在日内高位(93.3%)，延迟买入,SH600000,浦发银行
2024-05-20 09:40:00,sell,8.3,10912.3595505618,90572.58426966294,126.80161797752811,90445.78265168541,35112.3595505618,799396.8896516858,True,1.8999999999999928,,,,,,,SH600000,浦发银行
2024-05-20 14:50:00,delay_balance,8.31,0.0,0.0,0.0,,,,,,,,0.0,0.0,delayed_force_balance_1450,价格在日内高位(80.0%)，延迟买入,SH600000,浦发银行
2024-05-21 09:40:00,buy,8.3,13200.0,109560.00000000001,153.38400000000001,-109713.38400000002,48312.3595505618,689683.5056516859,True,1.8749999999999916,,,,,,,SH600000,浦发银行
2024-05-21 09:54:00,buy,8.33,10500.0,87465.0,122.451,-87587.451,58812.3595505618,602096.0546516859,True,1.5,,,,,,,SH600000,浦发银行
2024-05-21 10:18:00,sell,8.38,14000.0,117320.00000000001,164.24800000000002,117155.75200000001,44812.3595505618,719251.8066516859,True,2.000000000000011,,,,,,,SH600000,浦发银行
2024-05-21 10:32:00,sell,8.41,9700.0,81577.0,114.20779999999999,81462.7922,35112.3595505618,800714.5988516859,True,2.125000000000008,,,,,,,SH600000,浦发银行
2024-05-21 14:50:00,delay_balance,8.4,0.0,0.0,0.0,,,,,,,,0.0,0.0,delayed_force_balance_1450,价格在日内高位(87.5%)，延迟买入,SH600000,浦发银行
2024-05-22 09:40:00,buy,8.43,16300.0,137409.0,192.3726,-137601.3726,51412.3595505618,663113.2262516859,True,2.318181818181821,,,,,,,SH600000,浦发银行
2024-05-22 10:12:00,buy,8.46,13700.0,115902.00000000001,162.26280000000003,-116064.26280000001,65112.3595505618,547048.9634516858,True,1.9545454545454473,,,,,,,SH600000,浦发银行
2024-05-22 11:00:00,sell,8.52,10500.0,89460.0,125.244,89334.756,54612.3595505618,636383.7194516859,True,1.5,,,,,,,SH600000,浦发银行
2024-05-22 11:13:00,sell,8.56,13100.0,112136.0,156.9904,111979.0096,41512.3595505618,748362.7290516859,True,1.863636363636374,,,,,,,SH600000,浦发银行
2024-05-22 14:40:00,buy,8.51,11200.0,95312.0,133.4368,-95445.4368,52712.3595505618,652917.2922516859,True,1.5909090909090895,,,,,,,SH600000,浦发银行
