trades_count,buy_count,sell_count,total_volume,t0_profit,date,closing_price,symbol,stock_name
4,2,2,49200.0,1138.3513999999964,2024-04-15,7.3,SH600000,浦发银行
3,2,1,39900.0,1457.6357999999968,2024-04-16,7.26,SH600000,浦发银行
4,2,2,56200.0,2414.4588000000012,2024-04-17,7.34,SH600000,浦发银行
6,4,2,73000.0,3281.6348000000025,2024-04-18,7.33,SH600000,浦发银行
2,1,1,23000.0,3678.9938,2024-04-19,7.34,SH600000,浦发银行
3,2,1,38500.0,3678.9938,2024-04-22,7.29,SH600000,浦发银行
4,2,2,54300.0,4559.229000000005,2024-04-23,7.34,SH600000,浦发银行
5,3,2,65200.0,5871.644000000004,2024-04-24,7.36,SH600000,浦发银行
3,2,1,42800.0,6155.883200000005,2024-04-25,7.41,SH600000,浦发银行
4,2,2,49700.0,6369.580400000005,2024-04-26,7.42,SH600000,浦发银行
3,1,2,37300.0,7208.31320000001,2024-04-29,7.42,SH600000,浦发银行
7,3,4,80900.0,9131.288599999996,2024-04-30,7.7,SH600000,浦发银行
4,2,2,53000.0,10092.3122,2024-05-06,7.85,SH600000,浦发银行
4,2,2,56200.0,11211.201400000009,2024-05-07,7.82,SH600000,浦发银行
2,2,0,21000.0,11211.201400000009,2024-05-08,7.8,SH600000,浦发银行
2,2,0,22600.0,11211.201400000009,2024-05-09,7.8,SH600000,浦发银行
3,2,1,38600.0,11648.25800000002,2024-05-10,7.94,SH600000,浦发银行
2,2,0,23600.0,11648.25800000002,2024-05-13,7.96,SH600000,浦发银行
4,2,2,49800.0,11648.25800000002,2024-05-14,7.88,SH600000,浦发银行
2,1,1,28900.0,11648.25800000002,2024-05-15,7.89,SH600000,浦发银行
3,1,2,42100.0,12996.809200000003,2024-05-16,8.02,SH600000,浦发银行
3,1,2,43300.0,14281.03060000002,2024-05-17,8.16,SH600000,浦发银行
1,0,1,10912.3595505618,14281.03060000002,2024-05-20,8.32,SH600000,浦发银行
4,2,2,47400.0,15202.18540000003,2024-05-21,8.42,SH600000,浦发银行
5,3,2,64800.0,16580.43260000001,2024-05-22,8.53,SH600000,浦发银行
5,4,1,65900.0,16970.282599999995,2024-05-23,8.52,SH600000,浦发银行
7,3,4,85700.0,17565.55319999999,2024-05-24,8.44,SH600000,浦发银行
2,2,0,19800.0,17565.55319999999,2024-05-27,8.54,SH600000,浦发银行
3,2,1,35200.0,17901.185400000002,2024-05-28,8.54,SH600000,浦发银行
4,2,2,52900.0,17901.185400000002,2024-05-29,8.49,SH600000,浦发银行
4,2,2,52500.0,17901.185400000002,2024-05-30,8.4,SH600000,浦发银行
2,1,1,26500.0,17901.185400000002,2024-05-31,8.34,SH600000,浦发银行
4,2,2,50000.0,18157.13439999999,2024-06-03,8.28,SH600000,浦发银行
2,2,0,30000.0,18157.13439999999,2024-06-04,8.32,SH600000,浦发银行
3,1,2,38600.0,18157.13439999999,2024-06-05,8.29,SH600000,浦发银行
2,0,2,23600.0,18157.13439999999,2024-06-06,8.25,SH600000,浦发银行
3,1,2,38600.0,18157.13439999999,2024-06-07,8.31,SH600000,浦发银行
3,2,1,38600.0,18157.13439999999,2024-06-11,8.15,SH600000,浦发银行
2,2,0,21100.0,18157.13439999999,2024-06-12,8.11,SH600000,浦发银行
