date,equity,holdings,cash,cummax,drawdown,symbol,stock_name
2024-04-15,1014062.1262382023,70224.7191011236,501421.6768000001,1014062.1262382023,0.0,SH600000,浦发银行
2024-04-16,1011942.1394741574,70224.7191011236,502110.67880000005,1014062.1262382023,0.0020905886426400106,SH600000,浦发银行
2024-04-17,1019161.5854022473,70224.7191011236,503712.1472,1019161.5854022473,0.0,SH600000,浦发银行
2024-04-18,1018107.132211236,101224.7191011236,276129.94120000006,1019161.5854022473,0.0010346280767588355,SH600000,浦发银行
2024-04-19,1018661.0344022473,70224.7191011236,503211.5962,1019161.5854022473,0.0004911399793413701,SH600000,浦发银行
2024-04-22,1015154.025447191,81724.7191011236,419380.82320000004,1019161.5854022473,0.003932212528864664,SH600000,浦发银行
2024-04-23,1020872.6348022472,70224.7191011236,505423.1966,1020872.6348022472,0.0,SH600000,浦发银行
2024-04-24,1022911.8873842699,70224.7191011236,506057.95480000007,1022911.8873842699,0.0,SH600000,浦发银行
2024-04-25,1027586.9577393259,70224.7191011236,507221.7892000001,1027586.9577393259,0.0,SH600000,浦发银行
2024-04-26,1028981.9157303371,70224.7191011236,507914.5000000001,1028981.9157303371,0.0,SH600000,浦发银行
2024-04-29,1029042.5607303372,70224.7191011236,507975.14500000014,1029042.5607303372,0.0,SH600000,浦发银行
2024-04-30,1049642.360278652,70224.7191011236,508912.0232000003,1049642.360278652,0.0,SH600000,浦发银行
2024-05-06,1060717.6495438204,68024.7191011236,526723.6046000003,1060717.6495438204,0.0,SH600000,浦发银行
2024-05-07,1060316.819170787,70224.7191011236,511159.5158000003,1060717.6495438204,0.0003778860219831351,SH600000,浦发银行
2024-05-08,1058337.5217887643,91224.7191011236,346784.7128000003,1060717.6495438204,0.0022438843702466435,SH600000,浦发银行
2024-05-09,1057936.8491887643,70224.7191011236,510184.0402000003,1060717.6495438204,0.002621621650447693,SH600000,浦发银行
2024-05-10,1068676.5812629217,70224.7191011236,511092.31160000025,1068676.5812629217,0.0,SH600000,浦发银行
2024-05-13,1070142.560044944,70224.7191011236,511153.79600000026,1070142.560044944,0.0,SH600000,浦发银行
2024-05-14,1065331.4547168543,70224.7191011236,511960.6682000003,1070142.560044944,0.004495761132879093,SH600000,浦发银行
2024-05-15,1066418.9887078656,70224.7191011236,512345.95500000037,1070142.560044944,0.003479509624327138,SH600000,浦发银行
2024-05-16,1076049.4801910117,57924.7191011236,611493.2330000004,1076049.4801910117,0.0,SH600000,浦发银行
2024-05-17,1084512.814865169,46024.7191011236,708951.1070000004,1084512.814865169,0.0,SH600000,浦发银行
